"region","acquisition_channel","top_customer_count","pct_of_top5"
"Europe","Influencer","12","8"
"Southeast Asia","Organic","12","8"
"North America","Influencer","11","7.3"
"North America","Organic","10","6.7"
"Southeast Asia","Influencer","10","6.7"
"Europe","Email","7","4.7"
"Europe","Organic","7","4.7"
"Europe","Social Ads","7","4.7"
"North America","Email","6","4"
"Southeast Asia","Referral","6","4"
"Southeast Asia","Social Ads","6","4"
"Europe","Paid Search","5","3.3"
"North America","Paid Search","5","3.3"
"North America","Referral","5","3.3"
"North America","Social Ads","5","3.3"
"Europe","Referral","4","2.7"
"Middle East","Referral","4","2.7"
"Latin America","Organic","3","2"
"Latin America","Paid Search","3","2"
"Latin America","Referral","3","2"
"Latin America","Social Ads","3","2"
"Middle East","Paid Search","3","2"
"Southeast Asia","Paid Search","3","2"
"Latin America","Email","2","1.3"
"Middle East","Influencer","2","1.3"
"Middle East","Organic","2","1.3"
"Latin America","Influencer","1","0.7"
"Middle East","Email","1","0.7"
"Middle East","Social Ads","1","0.7"
"Southeast Asia","Email","1","0.7"
