"channel","year","total_impressions","total_clicks","total_conversions","ctr_pct","conversion_rate_pct"
"Email","2022","1326765","63814","975","4.81","1.53"
"Email","2023","1391365","73492","855","5.28","1.16"
"Email","2024","1394472","72561","964","5.2","1.33"
"Influencer","2022","4153166","222346","2009","5.35","0.9"
"Influencer","2023","4326716","219338","2104","5.07","0.96"
"Influencer","2024","4467228","230334","1791","5.16","0.78"
"Organic","2022","726366","32505","558","4.48","1.72"
"Organic","2023","853819","38788","584","4.54","1.51"
"Organic","2024","819588","42592","739","5.2","1.74"
"Paid Search","2022","18475211","859999","2238","4.65","0.26"
"Paid Search","2023","16471873","822827","2102","5","0.26"
"Paid Search","2024","16835121","869923","2489","5.17","0.29"
"Referral","2022","3177376","145426","1059","4.58","0.73"
"Referral","2023","2805635","124221","934","4.43","0.75"
"Referral","2024","2929842","132484","965","4.52","0.73"
"Social Ads","2022","10224774","522013","1989","5.11","0.38"
"Social Ads","2023","11229537","611515","2176","5.45","0.36"
"Social Ads","2024","11597136","484654","2573","4.18","0.53"
