"region","acquisition_channel","top_customer_count","revenue_from_top5","pct_of_top5_revenue"
"Europe","Influencer","12","125893.67","10.3"
"Southeast Asia","Organic","12","117095.03","9.6"
"Southeast Asia","Influencer","10","104977.69","8.6"
"North America","Influencer","11","95327.87","7.8"
"North America","Organic","10","89250.25","7.3"
"Southeast Asia","Referral","6","63714.53","5.2"
"North America","Referral","5","58308.75","4.8"
"Europe","Organic","7","56905.97","4.7"
"Europe","Email","7","55967.38","4.6"
"Europe","Social Ads","7","48352.83","4"
"Europe","Paid Search","5","39263.28","3.2"
"North America","Social Ads","5","36933.73","3"
"North America","Paid Search","5","32613.98","2.7"
"Southeast Asia","Social Ads","6","32194.19","2.6"
"North America","Email","6","31075.510000000002","2.6"
"Europe","Referral","4","29095.83","2.4"
"Middle East","Referral","4","27459.42","2.3"
"Latin America","Referral","3","19742.17","1.6"
"Middle East","Organic","2","18265.98","1.5"
"Southeast Asia","Paid Search","3","17941.07","1.5"
"Latin America","Social Ads","3","17468.809999999998","1.4"
"Middle East","Paid Search","3","17349.55","1.4"
"Latin America","Organic","3","14367.349999999999","1.2"
"Latin America","Paid Search","3","13516.03","1.1"
"Middle East","Influencer","2","11637.369999999999","1"
"Middle East","Email","1","10615.72","0.9"
"Latin America","Email","2","9425.56","0.8"
"Southeast Asia","Email","1","8680.02","0.7"
"Middle East","Social Ads","1","8521.31","0.7"
"Latin America","Influencer","1","6250.63","0.5"
